titulo,sinopse,direcao,ano,duracao,uf,link_filme,link_base,codigo,obs,fonte,cartaz,raspagem
Chegada do Primeiro Automóvel a Curitiba,,Annibal Requião,1907,,Paraná,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2863,2863,,IMDb (http://www.imdb.com/?ref_=nv_home) e Cinemateca Brasileira (http://www.cinemateca.gov.br),,29/08/2023 11:58:49
"Colheita, Preparação e Embarque do Café","Cultura, colheita, preparação e embarque do café. ""Vista industrial demonstrando os detalhes da maior riqueza natural brasileira. Assuntos colhidos na fazenda do Exmo. sr. Conde de Prates."" (VPA/BECB, p. 232)",Júlio Ferrez,1907,,,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3374,3374,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:58:49
Desfile de 15 de Novembro em Curitiba,,Annibal Requião,1907,,Paraná,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2862,2862,,IMDb (http://www.imdb.com/?ref_=nv_home) e Cinemateca Brasileira (http://www.cinemateca.gov.br),,29/08/2023 11:58:50
Documentários de Eduardo Hirtz,,Eduardo Hirtz,1907,,Rio Grande do Sul,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2976,2976,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:58:50
Estrada de Ferro de Paranaguá,,Júlio Ferrez,1907,,,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3376,3376,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:58:50
Extração de Pinho no Paraná,,Júlio Ferrez,1907,,,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3381,3381,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:58:51
Indústria de Madeira no Paraná,,Júlio Ferrez,1907,,,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3379,3379,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:58:51
Matadouro do Rio de Janeiro,,Júlio Ferrez,1907,,,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3378,3378,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:58:51
Movimento do Rio de Janeiro e do seu Porto,,Antônio Leal,1907,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3181,3181,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:58:52
O Café em São Paulo,,Júlio Ferrez,1907,,,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3382,3382,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:58:52
Operação das Marias Xifópagas pelo Dr. Chapot Prevost,"Operação das xifópagas Maria Francina e Maria de Lourdes pelo Dr. Eduardo Chapot Prevost, na Casa de Saúde de São Sebastião, Rio de Janeiro.",Antônio Leal,1907,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3182,3182,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:58:52
Viagem de S. Exa. Paul Doumer ao Brasil,"Visita do político francês Paul Doumer ao Rio de Janeiro. ""Chegada ao cais Pharoux em companhia de Sua Exa. o Barão do Rio Branco. Visita ao palácio presidencial, visita ao (e almoço no) Corcovado, e exercícios no Colégio Militar.""",Júlio Ferrez,1907,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3377,3377,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:58:53
Viagens de Paul Doumer pelo Brasil em Diversas Estradas de Ferro,Viagem do político Paul Doumer pelo Brasil em diversas estradas de ferro.,Júlio Ferrez,1907,,,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3380,3380,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:58:53
Vistas do Paraná,,Júlio Ferrez,1907,,,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3375,3375,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:58:54
A Festa Campestre de Famílias Cariocas,"""Fita tirada no 'garden party' no Jardim Botânico por ocasião das festas aos (marinheiros) americanos (...).""",Antônio Leal,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3196,3196,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:58:54
As Últimas Regatas,,Antônio Leal,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3184,3184,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:58:54
As Modas da Quinzena,"Filmes ""em que se verão reproduzidas todas as novidades parisienses importadas pelos grandes 'magazines' desta Capital (...)""",Antônio Leal,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3189,3189,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:58:55
Aspectos da Avenida: O Padre Vendedor de Fósforos,"""Mostrava que o padre Pelegrinetti, que os jornais noticiavam ter sido suspenso de ordens pelo Bispo de Diamantina e que viera para a Capital, fora à Prefeitura e pegara uma licença de ambulante para vender fósforos baratos na Avenida Central, debaixo de vaias e chufas da molecada. Era assim um tipo popular das ruas cariocas e ficou conhecido como o Padre dos Fósforos.""",Antônio Leal,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3193,3193,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:58:55
"Barroso e Saldanha, Trasladação e Homenagens da Marinha Brasileira","Pompas fúnebres dos Almirantes Saldanha e Barroso; homenagem da Marinha Brasileira. Vistas ""da Avenida, cheia de povo""; ""oficiais do exército e da armada, senhoras, etc.""",Antônio Leal,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3194,3194,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:58:55
Bombeiros do Rio,"Inauguração da fachada do Quartel do Corpo de Bombeiros, Rio de Janeiro.",Antônio Leal,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3183,3183,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:58:56
Bombeiros do Rio de Janeiro em Exercício de Fogo no Quartel da Praça da República,,Antônio Leal,1908,,,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3669,3669,,Cinemateca Brasileira (http://cinemateca.gov.br); IMDb (http://www.imdb.com/),,29/08/2023 11:58:56
Cachoeiras do Iguaçu,"Provavelmente foi realizado por Requião, ou pelos cinegrafistas da Pathé-Frères que acompanharam a viagem de Paul Doumer ao Brasil realizando filmagens em várias partes do Estado.",Annibal Requião,1908,,,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2867,2867,,Cinemateca Brasileira (http://www.cinemateca.gov.br/) e Dissertação “Cinema Paranaense 1900 – 1930” (Autora Solange Straube Stecz),,29/08/2023 11:58:56
Centenário do General Osório,"""A chegada do Presidente Afonso Pena, o desfile das tropas e visita à estátua de Osório.""",Júlio Ferrez,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3388,3388,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:58:57
Centenário do Primeiro Regimento de Cavalaria,"""Deslumbrante vista nacional de toda atualidade onde se observa o excelentíssimo sr. dr. Presidente da República e suas casas militar e civil."" (Diário da Tarde)""A chegada do Presidente Afonso Pena; ministros e autoridades assistem à continência; o Presidente oferece uma bandeira ao regimento; oficiais e famílias convidadas presentes à festa, etc."" (VPA/BECB, p. 248)",Antônio Leal,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3195,3195,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:58:57
Comemoração da Batalha do Riachuelo,"""A chegada de S. Exa. o Sr. Presidente da República e altas autoridades no Palácio Monroe, aspecto da tribuna oficial e a passagem da marinha em continência ao Dr. Afonso Pena."" (MGV/P)",Antônio Leal,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3190,3190,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:58:58
Como se Glorifica um Herói - O Centenário de Osório,Comemoração do centenário do General Osório no Rio de Janeiro.,Antônio Leal,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3192,3192,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:58:58
Corso e Passeata do Colégio Militar,"Corso e passeata do Colégio Militar, Rio de Janeiro.",Antônio Leal,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3187,3187,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:58:58
De Barra a Juiz de Fora,"""Documentário de propaganda da Estrada de Ferro Central do Brasil"", focalizando o trecho de Barra a Juiz de Fora.",Júlio Ferrez,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3389,3389,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:58:59
De Belém a Palmeiras,"""Documentário de propaganda da Estrada de Ferro Central do Brasil"", focalizando o trecho de Belém a Palmeiras.",Júlio Ferrez,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3390,3390,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:58:59
De Souza Aguiar a Juiz de Fora,"""Documentário de propaganda da Estrada de Ferro Central do Brasil"", focalizando o trecho de Souza Aguiar a Juiz de Fora.",Júlio Ferrez,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3392,3392,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:58:59
Entrada da Esquadra Americana na Baía do Rio de Janeiro,"Entrada na Baía de Guanabara da esquadra norte-americana, composta de 26 unidades (quatro couraçados, uma flotilha de torpedeiros, navios auxiliares, um navio oficina e cinco carvoeiros) sob o comando do Almirante R. D. Evans.",Antônio Leal,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3197,3197,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:59:00
Entrega da Bandeira aos Voluntários Paranaenses e Desfilar dos Mesmos pela Rua XV,"Entrega da bandeira aos voluntários paranaenses e desfilar dos mesmos pela Rua XV, em Curitiba.",Annibal Requião,1908,,,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2866,2866,,IMDb (http://www.imdb.com/?ref_=nv_home) e Cinemateca Brasileira (http://www.cinemateca.gov.br),,29/08/2023 11:59:00
Exercícios dos Bombeiros do Rio de Janeiro,"Inauguração da fachada do Quartel do Corpo de Bombeiros, Rio de Janeiro.",Júlio Ferrez,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3395,3395,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:59:01
Ferrovia Paranaguá-Curitiba,,Annibal Requião,1908,,Paraná,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2865,2865,,IMDb (http://www.imdb.com/?ref_=nv_home) e Cinemateca Brasileira (http://www.cinemateca.gov.br),,29/08/2023 11:59:01
Festa do Jubileu da Estrada,Festa do jubileu da Estrada de Ferro Central do Brasil.,Júlio Ferrez,1908,,,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3385,3385,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:59:01
Festa Rio-Grandense,"Uma festa gaúcha na esplanada do Leme, Rio de Janeiro.",Júlio Ferrez,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3386,3386,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:59:02
Festival em Honra do Marechal Hermes,Festival em honra do Marechal Hermes da Fonseca.,Júlio Ferrez,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3393,3393,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:59:02
Imponente Vista Curitibana da Entrega da Bandeira aos Voluntários,"Provavelmente seja o mesmo filme citado com o título ""Entrega da bandeira aos voluntários paranaenses e desfilar dos mesmos pela rua XV"". ",Annibal Requião,1908,,Paraná,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2864,2864,,"IMDb (http://www.imdb.com/?ref_=nv_home), Cinemateca Brasileira (http://www.cinemateca.gov.br) e Dissertação “Cinema Paranaense 1900 – 1930” (Autora Solange Straube Stecz)",,29/08/2023 11:59:02
Inauguração da Estátua de Cristiano Ottoni,"""Documentário de propaganda da Estrada"" de Ferro Central do Brasil, focalizando a inauguração da estátua de Cristiano Ottoni.",Júlio Ferrez,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3391,3391,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:59:03
Inauguração da Exposição Nacional,Inauguração da Exposição Nacional do Rio de Janeiro.,Antônio Leal,1908,,,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3200,3200,,Cinemateca Brasileira (http://cinemateca.gov.br/),,29/08/2023 11:59:03
Inauguração das Linhas Elevadas,"""Documentário de propaganda"" da Estrada de Ferro Central do Brasil, focalizando a inauguração de linhas elevadas.",Júlio Ferrez,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3384,3384,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:59:03
Margem do Rio das Velhas,"""Documentário de propaganda"" da Estrada de Ferro Central do Brasil, focalizando a margem do Rio das Velhas",Júlio Ferrez,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3387,3387,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:59:04
Match Internacional de Futebol entre Brasileiros e Argentinos,"Jogo de futebol entre brasileiros e argentinos, Rio de Janeiro.",Antônio Leal,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3191,3191,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:59:05
O Circuito de Itapecerica,"São Paulo ""foi palco da primeira corrida de automóveis realizada na América do Sul: o Circuito de Itapecerica, com o percurso de 80 quilômetros. Os carros partiram do Parque Antártica e seguiram 'através da Consolação, da rua do Arco Verde e dos Povoados Pinheiros, Botequim, Pirajussara, passando por fora de Itapecerica, M'Boy Mirim, Santo Amaro, indo sair na Avenida Paulista'. Foi vencedor o Dr. Silvio Penteado, com um carro de 40 HP. Tomaram parte na corrida os Drs. Antônio Prado Junior, Ernani Pinto, Jordano Laport, Luís Morais e outros.""""Belíssimo efeito das poderosas máquinas em vertiginosa carreira para a conquista do prêmio, o arrojo dos denodados 'chauffeurs' fidalgos da fidalga cidade, moças, muitas moças bonitas e ricas com suas famílias as mais distintas, assim como os membros dos clubes automobilistas e outros esportes do Rio e de lá, sobressaindo uma conversa interessante entre o deputado Carlos de Carvalho, o Dr. Aarão Reis e o delegado de Polícia de São Paulo nas arquibancadas do Antártica.""",Antônio Leal,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3188,3188,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:59:05
O Corso de Botafogo,"""Naquele tempo, às quartas feiras havia o corso da mocidade carioca no Botafogo (...), na Avenida Beira-Mar.""",Antônio Leal,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3186,3186,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:59:05
O Corso de Carruagens na Exposição,"Corso de Carruagens na Exposição Nacional de 1908, Rio de Janeiro.",Antônio Leal,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3185,3185,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:59:06
Os Exercícios de Esgrima da Baioneta Executados pelos Marinheiros Nacionais de Villegaignon,,Júlio Ferrez,1908,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3394,3394,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:59:06
Ramal de Ouro Preto,"""Documentário sobre a Estrada"" de Ferro Central do Brasil, focalizando o ramal de Ouro Preto.",Júlio Ferrez,1908,3,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3383,3383,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:59:06
A Festa da Bandeira em Curitiba,"""A fita apanha todas as fases da festa à bandeira realizada nesta capital."" (A República, 20.11.1909) ",Annibal Requião,1909,,Paraná,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2869,2869,,Cinemateca Brasileira (http://www.cinemateca.gov.br),,29/08/2023 11:59:07
Ascensão do Balão Granada no Passeio Público,Ascensão do Balão Granada no Passeio Público de Curitiba,Annibal Requião,1909,,Paraná,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2889,2889,,IMDb (http://www.imdb.com/) e Cinemateca Brasileira (http://www.cinemateca.gov.br),,29/08/2023 11:59:07
Aspectos da Capital Paulista,,Antônio Leal,1909,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3846,3846,,Cinemateca Brasileira (http://cinemateca.gov.br); IMDb (http://www.imdb.com/),,29/08/2023 11:59:07
